,Date,Type,Operator,Fatalities,Flight type,Phase,Location,Country,Category
62,2018-02-18 00:00:00.000000,ATR 72-212,Iran Aseman Airlines,66.0,Domestic Scheduled Passenger,En Route,near Yasuj Airport (YES),Iran,CFIT
63,2018-03-06 00:00:00.000000,Antonov An-26,Russian Air Force,39.0,Military,Approach,near Latakia-Khmeimim Air Base (LTK),Syria,
64,2018-03-12 00:00:00.000000,de Havilland Canada DHC-8-402Q Dash 8,US-Bangla Airlines,51.0,International Scheduled Passenger,Landing,Kathmandu-Tribhuvan Airport (KTM),Nepal,Runway excursion
65,2018-04-11 00:00:00.000000,Ilyushin Il-76TD,Al Quwwat al-Jawwiya al-Jaza'eriya,257.0,Military,Initial Climb,near Boufarik Airport,Algeria,
66,2018-04-17 00:00:00.000000,Boeing 737-7H4 (WL),Southwest Airlines,1.0,Domestic Scheduled Passenger,En Route,"105 km NW of Philadelphia, PA",USA,
67,2018-04-29 00:00:00.000000,Lockheed C-130H-30 Hercules,Libyan Air Force,3.0,Military,Initial Climb,near Sharara Airstrip,Libya,
68,2018-05-02 00:00:00.000000,Beechcraft C99 Commuter,Servicio Aéreo de Policia,4.0,Military,unknown,Ibagué,Colombia,
69,2018-05-02 00:00:00.000000,Lockheed WC-130H Hercules,United States Air Force - USAF,9.0,Military,Initial Climb,"near Savannah/Hilton Head International Airport, GA (SAV)",USA,
70,2018-05-13 00:00:00.000000,Cessna 208B Grand Caravan,Irish Parachute Club,2.0,Parachute,Approach,near Clonbullogue Aerodrome,Ireland,
71,2018-05-15 00:00:00.000000,Cessna 208B Grand Caravan,private,2.0,Illegal,unknown,Tuzantán,Mexico,
72,2018-05-16 00:00:00.000000,Cessna 208B Grand Caravan,Makalu Air,2.0,Cargo,En Route,Simikot Pass,Nepal,CFIT
73,2018-05-18 00:00:00.000000,Boeing 737-201 Adv.,Cubana de Aviación,112.0,Domestic Scheduled Passenger,Initial Climb,near Havana-José Martí International Airport (HAV),Cuba,Loss of control
74,2018-06-03 00:00:00.000000,Lockheed C-130H Hercules,Al Quwwat al-Jawwiya al-Jaza'eriya,1.0,Military,Approach,Biskra Airport (BSK),Algeria,
75,2018-06-05 00:00:00.000000,Cessna 208B Grand Caravan,Fly-SAX,10.0,Domestic Scheduled Passenger,En Route,near Njabini,Kenya,
76,2018-06-24 00:00:00.000000,Let L-410UVP,Eagle Air (Guinea),4.0,Cargo,En Route,"Souguéta, Kindia",Guinea,
77,2018-07-10 00:00:00.000000,Convair CV-340,Rovos Air,1.0,Private,Approach,near Pretoria-Wonderboom Airport (PRY),South Africa,
78,2018-08-04 00:00:00.000000,Junkers Ju-52/3mg4e,Ju-Air,20.0,Domestic Non-Scheduled Passenger,En route,Piz Segnas,Switzerland,Loss of control
79,2018-08-10 00:00:00.000000,de Havilland Canada DHC-8-402Q Dash 8,Horizon Air,1.0,Illegal,En route,"Ketron Island, WA",USA,
80,2018-08-30 00:00:00.000000,de Havilland Canada DHC-6 Twin Otter 300,Ethiopian Air Force,18.0,Military,En Route,near Mojo,Ethiopia,
81,2018-09-09 00:00:00.000000,Let L-410UVP,Slaver Company,20.0,Passenger,Approach,Yirol Airport,South Sudan,
82,2018-09-17 00:00:00.000000,Ilyushin Il-20M,Russian Air Force,15.0,Military,En Route,off Latakia-Khmeimim Air Base (LTK),Syria,
83,2018-09-27 00:00:00.000000,Cessna 208B Supervan 900,CGG Aviation Australia,1.0,Ferry,En route,"off Sendai, Japan",Pacific Ocean,
84,2018-09-28 00:00:00.000000,Boeing 737-8BK (WL),Air Niugini,1.0,International Scheduled Passenger,Approach,off Chuuk/Weno International Airport (TKK),Micronesia,CFIT
85,2018-10-29 00:00:00.000000,Boeing 737 MAX 8,Lion Air,189.0,Domestic Scheduled Passenger,En Route,off Tanjung Bungin,Indonesia,Loss of control
86,2018-11-09 00:00:00.000000,Boeing 757-200,Fly Jamaica Airways,1.0,International Scheduled Passenger,Landing,Georgetown-Cheddi Jagan International Airport,Guyana,Runway excursion
87,2018-12-20 00:00:00.000000,Antonov An-26,Gomair,7.0,Cargo,En route,near Kinshasa,Dem. Rep. Congo,
88,2019-01-03 00:00:00.000000,Yunshuji Y-12,Sri Lanka Air Force,4.0,Military,En Route,near Haputale,Sri Lanka,
89,2019-01-14 00:00:00.000000,Boeing 707,Saha Air,15.0,Military,Landing,Fat'h,Iran,Runway excursion
90,2019-01-21 00:00:00.000000,AMI DC-3TP,Priority Air Charter,2.0,Ferry,Takeoff,near Kidron,USA,
91,2019-02-08 00:00:00.000000,Convair C-131,Conquest Air Cargo,1.0,Cargo,En route,"off Miami, FL",USA,Ditching
92,2019-02-23 00:00:00.000000,Boeing 767-300,Atlas Air/Amazon,3.0,Cargo,En route,"near Houston, TX",USA,Loss of control
93,2019-03-09 00:00:00.000000,Douglas DC-3,LASER,14.0,Passenger,En route,near Villavicencio,Colombia,Emergency landing
94,2019-03-10 00:00:00.000000,Boeing 737 MAX 8,Ethiopian Airlines,157.0,Scheduled Passenger,En route,near Addis Ababa,Ethiopia,Loss of control
95,2019-04-14 00:00:00.000000,Let L-410,Summit Air,1.0,Ferry,Takeoff,Lukla,Nepal,
96,2019-05-06 00:00:00.000000,Sukhoi Superjet,Aeroflot,41.0,Scheduled Passenger,Landing,Moscow,Russia,Emergency landing
97,2019-05-13 00:00:00.000000,DHC-3T,Taquan,1.0,Non-Scheduled Passenger,En route,"Ketchikan, AK",USA,Mid-air collision
98,2019-06-03 00:00:00.000000,Antonov An-32,Indian Air Force,13.0,Military,En Route,near Lipo,India,
99,2019-06-27 00:00:00.000000,Antonov An-24,Angara,2.0,Scheduled Passenger,Landing,Nizhneangarsk,Russia,Runway excursion
100,2019-07-26 00:00:00.000000,Cessna 208,Seair,4.0,Non-Scheduled Passenger,En route,Addenbroke Island,Canada,CFIT
101,2019-07-30 00:00:00.000000,Beech B300,Pakistan Army,5.0,Military,Unknown,Rawalpindi,Pakistan,
102,2019-08-06 00:00:00.000000,Cessna 208B,Alkan Air,2.0,Non-Scheduled Passenger,En route,near Mayo,Canada,
103,2019-09-11 00:00:00.000000,Cessna 208,GoJump,1.0,Parchuting,Approach,Gransee,Germany,
104,2019-09-11 00:00:00.000000,Convair CV-440,Ferreteria e Implementos S.F.,2.0,Cargo,Approach,"Toledo, OH",USA,
105,2019-09-18 00:00:00.000000,DHC-6,Rimbun Air,4.0,Cargo,En route,near Ilaga,Indonesia,CFIT
106,2019-09-23 00:00:00.000000,Cessna 208B,Auric Air,2.0,Non-Scheduled Passenger,Takeoff,Seronera,Tanzania,
107,2019-09-24 00:00:00.000000,Cessna 208,Royal Rainmaking ,2.0,Military,En Route,Sai Yok district,Thailand,
108,2019-10-02 00:00:00.000000,Boeing B-17,The Collings Foundation,7.0,Non-Scheduled Passenger,Landing,"Windsor Locks, CT",USA,Engine failure
109,2019-10-04 00:00:00.000000,Antonov An-12,Ukraine Air Alliance,5.0,Cargo,Approach,nr Lviv,Ukraine,CFIT
110,2019-10-10 00:00:00.000000,Antonov An-72,Congo Air Force,8.0,Military,En Route,near Kole,D.R. Congo,
111,2019-10-17 00:00:00.000000,Saab 2000,PenAir,1.0,Scheduled Passenger,Landing,"Unalaska, AK",USA,Runway excursion
112,2019-10-26 00:00:00.000000,DHC-3T,Blue Water Av. Svc,3.0,Non-Scheduled Passenger,Approach,"Family Lake, MB ",Canada,Structural failure
113,2019-11-24 00:00:00.000000,Dornier 228,Busy Bee,20.0,Scheduled Passenger,Takeoff,Goma,DRC,
114,2019-12-09 00:00:00.000000,Cessna 208B,Martinaire,1.0,Cargo,En route,"near Victoria Regional Airport, TX",USA,
115,2019-12-09 00:00:00.000000,Lockheed C-130,Chile Air Force,38.0,Military,En Route,S of Punta Arenas,Atlantic Ocean,
116,2019-12-24 00:00:00.000000,Cessna 208B,Calafia Airlines,2.0,Scheduled Passenger,En route,Tastiota,Mexico,
117,2019-12-27 00:00:00.000000,Fokker 100,Bek Air,12.0,Scheduled Passenger,Takeoff,Almaty,Kazakhstan,Loss of control
118,2020-01-02 00:00:00.000000,Antonov An-12,Sudan Air Force,18.0,Military,Unknown,near Geneina,Sudan,
119,2020-01-08 00:00:00.000000,Boeing 737-800,Ukraine Int. Airlines,176.0,Passenger,En route,near Tehran,Iran,Shot down
120,2020-01-23 00:00:00.000000,Lockheed C-130,Coulson,3.0,Firefighting,En route,"near Cooma, NSW",Australia,
